generator,n_samples,accuracy,mean_confidence,mean_margin,mean_entropy
ADM,6000,0.9973333333333332,0.9991018446171545,0.9982074411888708,0.0016140494142897
BigGAN,6000,0.9998333333333334,0.999975230583362,0.999950461913282,5.257039819356224e-05
VQDM,6000,1.0,0.9997040451337762,0.999437171865931,0.0005215818806379
glide,6000,0.9991666666666666,0.9996293268095676,0.999258971420914,0.0007274180401578
