experiment,task,num_seeds,seeds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,auc_mean,auc_std
10pct_tuned,ai_subsource_attribution,3,"42,123,2026",0.8901388888888889,0.002749859704614374,0.889530842637899,0.002882629719783304,,
10pct_tuned,binary_ai_vs_nature,3,"42,123,2026",0.8941666666666667,0.0016404183070858106,0.8941431528984406,0.0016502750958786424,0.9612741898148148,0.0008902163203627073
5pct_baseline,ai_subsource_attribution,3,"42,123,2026",0.8852777777777777,0.005499719409228692,0.8847584315695708,0.005723467126809345,,
5pct_baseline,binary_ai_vs_nature,3,"42,123,2026",0.8898611111111112,0.011187239203112338,0.8898116805957871,0.011202156068515035,0.9568555555555557,0.001907205159405188
