generator,n_samples,accuracy,mean_confidence,mean_margin,mean_entropy
ADM,12000,0.9886666666666668,0.9806637269219968,0.9613274538439932,0.0832659813553448
BigGAN,12000,0.99525,0.9908026779422394,0.9816053558844788,0.0446643967772458
VQDM,12000,0.9879166666666668,0.972483508673657,0.9449670173473138,0.1183156321123788
glide,12000,0.9931666666666666,0.9880234242447382,0.9760468484894764,0.0538911455795296
