run,task,clean_macro_f1,degraded_mean_macro_f1,degraded_min_macro_f1,clean_minus_degraded_mean
outputs_4gen_20pct_fusion_mild_aug_robust_20pct,ai_subsource_attribution,0.9937437272808434,0.5029222539638077,0.1039954839889125,0.49082147331703563
outputs_4gen_20pct_fusion_mild_aug_robust_20pct,binary_ai_vs_nature,0.9794772406538024,0.48703370701929277,0.3401927742424983,0.4924435336345096
outputs_4gen_20pct_fusion_robust_aug_robust_20pct,ai_subsource_attribution,0.9906311045994716,0.6347432660733461,0.2536816395199567,0.3558878385261255
outputs_4gen_20pct_fusion_robust_aug_robust_20pct,binary_ai_vs_nature,0.974891157846786,0.4868683334078667,0.3342585911203478,0.4880228244389193
outputs_4gen_20pct_stable_freq_robust_20pct,ai_subsource_attribution,0.8961712059302278,0.26963295315307945,0.1108263188523552,0.6265382527771484
outputs_4gen_20pct_stable_freq_robust_20pct,binary_ai_vs_nature,0.884874395936509,0.6493412346189331,0.3553467197983069,0.23553316131757585
outputs_4gen_full_best_robust_20pct,ai_subsource_attribution,0.9048504976585744,0.25170043434753625,0.1092031489974305,0.6531500633110381
outputs_4gen_full_best_robust_20pct,binary_ai_vs_nature,0.894157364091245,0.6690605648002649,0.3423958180632385,0.22509679929098014
outputs_v2_full_best_robust_20pct,ai_subsource_attribution,0.999166579499406,0.2522056974559378,0.1,0.7469608820434682
outputs_v2_full_best_robust_20pct,binary_ai_vs_nature,0.9908333269675882,0.5717335523850257,0.3377351090326336,0.41909977458256253
