run,task,best_model,labels,accuracy,macro_f1,auc
outputs_4gen_5pct_tune_baseline_no_dct,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8766666666666667,0.8758469834171987,
outputs_4gen_5pct_tune_large_all,binary_ai_vs_nature,lightgbm,ai|nature,0.8908333333333334,0.8908241595300717,0.9585548611111112
outputs_4gen_5pct_tune_large_all,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8758333333333334,0.8752788475904498,
outputs_4gen_5pct_tune_large_no_dct,binary_ai_vs_nature,lightgbm,ai|nature,0.885,0.8849865018880687,0.9559368055555556
outputs_4gen_5pct_tune_large_no_dct,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.87,0.8692591891637045,
outputs_4gen_5pct_tune_regularized_all,binary_ai_vs_nature,lightgbm,ai|nature,0.8854166666666666,0.8854078932084904,0.958913888888889
outputs_4gen_5pct_tune_regularized_all,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8791666666666667,0.8783545538689547,
outputs_4gen_5pct_tune_regularized_no_dct,binary_ai_vs_nature,lightgbm,ai|nature,0.8866666666666667,0.8866382475051037,0.9553652777777778
outputs_4gen_5pct_tune_regularized_no_dct,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8766666666666667,0.8760543511433309,
outputs_4gen_5pct_tune_wide_all,binary_ai_vs_nature,lightgbm,ai|nature,0.8883333333333333,0.8883305415968732,0.9597631944444444
outputs_4gen_5pct_tune_wide_all,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8808333333333334,0.8797190826454865,
outputs_4gen_5pct_tune_wide_no_dct,binary_ai_vs_nature,lightgbm,ai|nature,0.88625,0.8862455564670495,0.9570875
outputs_4gen_5pct_tune_wide_no_dct,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.8766666666666667,0.8757504679192817,
outputs_4gen_full_best,binary_ai_vs_nature,lightgbm,ai|nature,0.8997291666666667,0.899714775693452,0.9639623645833332
outputs_4gen_full_best,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9087916666666668,0.9085996400582268,
outputs_cache_smoke_write,binary_ai_vs_nature,lightgbm,ai|nature,0.5,0.3333333333333333,1.0
outputs_cache_smoke_write,ai_subsource_attribution,logreg,ADM|BigGAN|VQDM|glide,0.75,0.6666666666666666,
outputs_parallel_smoke_min,binary_ai_vs_nature,random_forest,ai|nature,0.75,0.7333333333333334,0.5
outputs_parallel_smoke_min,ai_subsource_attribution,random_forest,ADM|BigGAN|VQDM|glide,1.0,1.0,
outputs_smoke_4gen_min,binary_ai_vs_nature,lightgbm,ai|nature,0.9166666666666666,0.9165217391304348,0.9600694444444444
outputs_smoke_4gen_min,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9166666666666666,0.9115384615384616,
outputs_smoke_enhanced_min,binary_ai_vs_nature,lightgbm,ai|nature,0.9166666666666666,0.9165217391304348,0.9583333333333331
outputs_smoke_enhanced_min,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.875,0.870920745920746,
outputs_smoke_feature_profile_baseline,binary_ai_vs_nature,lightgbm,ai|nature,0.8958333333333334,0.8957881024750325,0.9618055555555556
outputs_smoke_feature_profile_baseline,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.875,0.870920745920746,
outputs_smoke_feature_profile_enhanced,binary_ai_vs_nature,lightgbm,ai|nature,0.9166666666666666,0.9165217391304348,0.9548611111111112
outputs_smoke_feature_profile_enhanced,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.875,0.870920745920746,
outputs_smoke_min,binary_ai_vs_nature,logreg,ai|nature,0.8333333333333334,0.8321678321678322,0.9097222222222222
outputs_smoke_min,ai_subsource_attribution,logreg,ADM|BigGAN,1.0,1.0,1.0
outputs_v2_20pct_best,binary_ai_vs_nature,lightgbm,ai|nature,0.9910416666666668,0.9910416526692488,0.9995250868055556
outputs_v2_20pct_best,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9972916666666668,0.9972899840698772,
outputs_v2_20pct_best_mild_aug,binary_ai_vs_nature,lightgbm,ai|nature,0.9846875,0.9846865653421228,0.9986875434027778
outputs_v2_20pct_fusion_flat_seed123,binary_ai_vs_nature,lightgbm,ai|nature,0.9891666666666666,0.9891666549117348,0.9994598090277778
outputs_v2_20pct_fusion_flat_seed123,ai_subsource_attribution,lightgbm,ADM|BigGAN|VQDM|glide,0.9970833333333332,0.997080703185736,
