run,task,labels,model,accuracy,macro_f1,auc
outputs_4gen_1pct_robust,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.8333333333333334,0.8306907665505225,
outputs_4gen_1pct_robust,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.825,0.8212896050826011,
outputs_4gen_20pct_best,binary_ai_vs_nature,ai|nature,lightgbm,0.8980208333333334,0.8979962610133545,0.9633293836805557
outputs_4gen_20pct_best,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.903125,0.902671231044436,
outputs_4gen_20pct_fusion_mild_aug,binary_ai_vs_nature,ai|nature,lightgbm,0.9841666666666666,0.9841656213502636,0.9986385850694444
outputs_4gen_20pct_fusion_mild_aug,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9945833333333334,0.9945759507058208,
outputs_4gen_20pct_fusion_robust_aug,binary_ai_vs_nature,ai|nature,lightgbm,0.980625,0.9806225475411732,0.9980674479166668
outputs_4gen_20pct_fusion_robust_aug,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9879166666666668,0.9879248197630016,
outputs_4gen_20pct_stable_freq,binary_ai_vs_nature,ai|nature,lightgbm,0.890625,0.8905961105354383,0.9572101996527778
outputs_4gen_20pct_stable_freq,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8966666666666666,0.8963717736733525,
outputs_4gen_50pct_best,binary_ai_vs_nature,ai|nature,lightgbm,0.89925,0.8992366740501432,0.9634945416666666
outputs_4gen_50pct_best,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9045833333333332,0.9042502268230116,
outputs_4gen_5pct,binary_ai_vs_nature,ai|nature,lightgbm,0.8795833333333334,0.8795657490963524,0.9564506944444444
outputs_4gen_5pct,binary_ai_vs_nature,ai|nature,random_forest,0.8708333333333333,0.8707899043845293,0.9473430555555556
outputs_4gen_5pct,binary_ai_vs_nature,ai|nature,logreg,0.8691666666666666,0.8691185859249683,0.9328
outputs_4gen_5pct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8791666666666667,0.8781396179492571,
outputs_4gen_5pct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.8633333333333333,0.8622363873094578,
outputs_4gen_5pct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.8358333333333333,0.8330936194248677,
outputs_4gen_5pct_ablation_band_slope,binary_ai_vs_nature,ai|nature,lightgbm,0.82375,0.8234495884403306,0.9010638888888888
outputs_4gen_5pct_ablation_band_slope,binary_ai_vs_nature,ai|nature,random_forest,0.8204166666666667,0.8202316238364107,0.8930774305555556
outputs_4gen_5pct_ablation_band_slope,binary_ai_vs_nature,ai|nature,logreg,0.7845833333333333,0.781717427157779,0.8552173611111111
outputs_4gen_5pct_ablation_band_slope,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.815,0.8107226339642761,
outputs_4gen_5pct_ablation_band_slope,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.805,0.8007353259751828,
outputs_4gen_5pct_ablation_band_slope,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.7758333333333334,0.7697705387126315,
outputs_4gen_5pct_ablation_dct_radial,binary_ai_vs_nature,ai|nature,lightgbm,0.7945833333333333,0.7932182506914134,0.8830847222222222
outputs_4gen_5pct_ablation_dct_radial,binary_ai_vs_nature,ai|nature,random_forest,0.7920833333333334,0.7906146916942953,0.8832145833333334
outputs_4gen_5pct_ablation_dct_radial,binary_ai_vs_nature,ai|nature,logreg,0.78875,0.7881936774559428,0.8646798611111111
outputs_4gen_5pct_ablation_dct_radial,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.6958333333333333,0.6916679110736088,
outputs_4gen_5pct_ablation_dct_radial,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.67,0.6636734455270058,
outputs_4gen_5pct_ablation_dct_radial,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.6383333333333333,0.6320640005251323,
outputs_4gen_5pct_ablation_fft_angular,binary_ai_vs_nature,ai|nature,random_forest,0.7966666666666666,0.794472085266007,0.8655416666666667
outputs_4gen_5pct_ablation_fft_angular,binary_ai_vs_nature,ai|nature,lightgbm,0.7941666666666667,0.7918720560850039,0.8673180555555555
outputs_4gen_5pct_ablation_fft_angular,binary_ai_vs_nature,ai|nature,logreg,0.7766666666666666,0.7757190797787318,0.8531
outputs_4gen_5pct_ablation_fft_angular,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.7366666666666667,0.7306069237392844,
outputs_4gen_5pct_ablation_fft_angular,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.735,0.727854778348135,
outputs_4gen_5pct_ablation_fft_angular,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.6566666666666666,0.6398964971045622,
outputs_4gen_5pct_ablation_fft_radial,binary_ai_vs_nature,ai|nature,lightgbm,0.87625,0.8762236760422139,0.9466833333333332
outputs_4gen_5pct_ablation_fft_radial,binary_ai_vs_nature,ai|nature,random_forest,0.8604166666666667,0.860294400012233,0.940928125
outputs_4gen_5pct_ablation_fft_radial,binary_ai_vs_nature,ai|nature,logreg,0.84,0.8397541784584825,0.91413125
outputs_4gen_5pct_ablation_fft_radial,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.8583333333333333,0.8576928100855825,
outputs_4gen_5pct_ablation_fft_radial,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8575,0.8567828899473577,
outputs_4gen_5pct_ablation_fft_radial,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.8058333333333333,0.8023228231952874,
outputs_4gen_5pct_ablation_high_freq_all,binary_ai_vs_nature,ai|nature,lightgbm,0.8104166666666667,0.8094719319179704,0.8876673611111112
outputs_4gen_5pct_ablation_high_freq_all,binary_ai_vs_nature,ai|nature,random_forest,0.805,0.8040397949954778,0.8827593749999999
outputs_4gen_5pct_ablation_high_freq_all,binary_ai_vs_nature,ai|nature,logreg,0.7841666666666667,0.7811014793257813,0.8415854166666668
outputs_4gen_5pct_ablation_high_freq_all,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.7808333333333334,0.7750315669946074,
outputs_4gen_5pct_ablation_high_freq_all,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.7691666666666667,0.763690378301801,
outputs_4gen_5pct_ablation_high_freq_all,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.7258333333333333,0.7141400647643301,
outputs_4gen_5pct_ablation_high_freq_stats,binary_ai_vs_nature,ai|nature,lightgbm,0.8116666666666666,0.8106715087847163,0.8873534722222223
outputs_4gen_5pct_ablation_high_freq_stats,binary_ai_vs_nature,ai|nature,random_forest,0.79875,0.7982025894897182,0.8764201388888889
outputs_4gen_5pct_ablation_high_freq_stats,binary_ai_vs_nature,ai|nature,logreg,0.7825,0.7802658838931105,0.8321569444444444
outputs_4gen_5pct_ablation_high_freq_stats,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.7616666666666667,0.755932719031319,
outputs_4gen_5pct_ablation_high_freq_stats,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,random_forest,0.7491666666666666,0.7436510221704075,
outputs_4gen_5pct_ablation_high_freq_stats,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,logreg,0.7208333333333333,0.7059675046241182,
outputs_4gen_5pct_ablation_no_dct,binary_ai_vs_nature,ai|nature,lightgbm,0.8791666666666667,0.8791524838678983,0.9541916666666668
outputs_4gen_5pct_ablation_no_dct,binary_ai_vs_nature,ai|nature,random_forest,0.8716666666666667,0.8716063930011588,0.9453409722222222
outputs_4gen_5pct_ablation_no_dct,binary_ai_vs_nature,ai|nature,logreg,0.8529166666666667,0.8527949925276779,0.9217430555555556
outputs_4gen_5pct_ablation_no_dct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.88,0.8792183710590001,
