threshold,coverage,n_covered,accuracy,macro_f1
0.0,1.0,24000,0.9990833333333332,0.9990832351600708
0.01,1.0,24000,0.9990833333333332,0.9990832351600708
0.02,1.0,24000,0.9990833333333332,0.9990832351600708
0.03,1.0,24000,0.9990833333333332,0.9990832351600708
0.04,1.0,24000,0.9990833333333332,0.9990832351600708
0.05,1.0,24000,0.9990833333333332,0.9990832351600708
0.06,1.0,24000,0.9990833333333332,0.9990832351600708
0.07,1.0,24000,0.9990833333333332,0.9990832351600708
0.08,1.0,24000,0.9990833333333332,0.9990832351600708
0.09,1.0,24000,0.9990833333333332,0.9990832351600708
0.1,1.0,24000,0.9990833333333332,0.9990832351600708
0.11,1.0,24000,0.9990833333333332,0.9990832351600708
0.12,1.0,24000,0.9990833333333332,0.9990832351600708
0.13,1.0,24000,0.9990833333333332,0.9990832351600708
0.14,1.0,24000,0.9990833333333332,0.9990832351600708
0.15,1.0,24000,0.9990833333333332,0.9990832351600708
0.16,1.0,24000,0.9990833333333332,0.9990832351600708
0.17,1.0,24000,0.9990833333333332,0.9990832351600708
0.18,1.0,24000,0.9990833333333332,0.9990832351600708
0.19,1.0,24000,0.9990833333333332,0.9990832351600708
0.2,1.0,24000,0.9990833333333332,0.9990832351600708
0.21,1.0,24000,0.9990833333333332,0.9990832351600708
0.22,1.0,24000,0.9990833333333332,0.9990832351600708
0.23,1.0,24000,0.9990833333333332,0.9990832351600708
0.24,1.0,24000,0.9990833333333332,0.9990832351600708
0.25,1.0,24000,0.9990833333333332,0.9990832351600708
0.26,1.0,24000,0.9990833333333332,0.9990832351600708
0.27,1.0,24000,0.9990833333333332,0.9990832351600708
0.28,1.0,24000,0.9990833333333332,0.9990832351600708
0.29,1.0,24000,0.9990833333333332,0.9990832351600708
0.3,1.0,24000,0.9990833333333332,0.9990832351600708
0.31,1.0,24000,0.9990833333333332,0.9990832351600708
0.32,1.0,24000,0.9990833333333332,0.9990832351600708
0.33,1.0,24000,0.9990833333333332,0.9990832351600708
0.34,1.0,24000,0.9990833333333332,0.9990832351600708
0.35,1.0,24000,0.9990833333333332,0.9990832351600708
0.36,1.0,24000,0.9990833333333332,0.9990832351600708
0.37,1.0,24000,0.9990833333333332,0.9990832351600708
